Anom_ID,Accident_Date,Accident_Time,Location,Geo_ID,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,X,Y,Latitude,Longitude,ObjectId
20--1127,2020/01/22,9:10 AM,GREENBANK RD @ WEST HUNT CLUB RD (0005167),5167,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,361479.6585,5020502.476,45.32218387,-75.77700683,1
20--1128,2020/01/22,9:10 AM,HIGHWAY 417 btwn HWY417 IC110 RAMP64 & HWY417 IC104 RAMP16 (__3ZA2W9),__3ZA2W9,01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,3,0,0,0,,0,,,,,376403.8781,5027674.461,45.38535036,-75.58561992,2
20--1129,2020/01/22,9:16 AM,LEMIEUX ST @ ST. LAURENT BLVD (0002021),2021,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372391.7325,5031742.561,45.422352,-75.63629129,3
20--113,2020/01/04,12:45 PM,CEDARVIEW RD @ KENNEVALE DR (0010465),10465,03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,361873.6731,5014315.431,45.26648071,-75.77269327,4
20--1130,2020/01/22,9:21 PM,TWIST WAY btwn EGO TERR & TRIANGLE ST (e___2HXL),e___2HXL,04 - At/near private drive,03 - P.D. only,06 - SMV unattended vehicle,03 - Snow,07 - Dark,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,352301.786,5016007.736,45.28242015,-75.89450121,5
20--1131,2020/01/23,1:09 PM,MEADOWLANDS DR @ MERIVALE RD (0000625),625,02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,364859.3299,5023724.551,45.35089473,-75.7335092,6
20--1132,2020/01/23,1:28 PM,STIRLING AVE btwn SCOTT ST & LADOUCEUR ST (__3ZAAI6),__3ZAAI6,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,365253.7781,5029787.78,45.40541662,-75.7277333,7
20--1133,2020/01/23,1:32 PM,BILLINGS BRIDGE NB RAMP @ RIVERSIDE DR WB (0002619),2619,02 - Intersection related,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,369274.151,5028046.639,45.38939165,-75.67660779,8
20--1134,2020/01/23,1:52 PM,MEADOWLANDS DR @ MERIVALE RD (0000625),625,03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,364858.6938,5023725.511,45.35090342,-75.7335172,9
20--1135,2020/01/23,10:00 AM,GARLAND ST btwn SCOTT ST & LOWREY ST (__3ZAAK2),__3ZAAK2,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,06 - Ice,10 - No control,,1,0,0,0,,0,,,,,365425.1266,5029980.628,45.407137,-75.72552089,10
20--1136,2020/01/23,10:00 PM,BANK ST @ HERON RD (0002155),2155,03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,369995.722,5026851.533,45.37857168,-75.6675515,11
20--1137,2020/01/23,10:30 PM,GRENFELL CRES @ SLACK RD (0000254),254,03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,365825.6943,5020853.488,45.32497788,-75.72153146,12
20--1138,2020/01/23,10:58 AM,EARL ARMSTRONG RD btwn LIMEBANK RD & BOWESVILLE RD (__3ZA6LB),__3ZA6LB,01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,372549.9054,5017436.77,45.29361843,-75.63623111,13
20--1139,2020/01/23,11:10 AM,REGIONAL ROAD 174 btwn OR174 IC105 RAMP63 & OR174 IC102 RAMP36 (__3ZA27F),__3ZA27F,01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,380301.8174,5037538.911,45.47369417,-75.53433785,14
20--114,2020/01/04,12:48 PM,ROSEHILL AVE @ HUNTMAR DR (0010609),10609,03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,02 - Wet,11 - Roundabout,01 - Functioning,2,0,0,0,,0,,,,,350500.3414,5016458.479,45.2865955,-75.91742125,15
20--1140,2020/01/23,11:16 AM,GREENBANK RD @ IRIS ST/HWY 417 IC129 RAMP51 (0009073),9073,02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,360531.3112,5023312.49,45.34754431,-75.78878635,16
20--1141,2020/01/23,11:30 AM,BELFAST RD @ ST. LAURENT BLVD (0007658),7658,02 - Intersection related,03 - P.D. only,04 - Sideswipe,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,372860.716,5030578.575,45.41183353,-75.63045993,17
20--1142,2020/01/23,11:55 AM,HIGHWAY 417 btwn HIGHWAY 417 & HWY417 IC115 RAMP25 (__3ZA2RX),__3ZA2RX,01 - Non intersection,02 - Non-fatal injury,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,372629.4121,5031521.593,45.42034082,-75.63328492,18
20--1143,2020/01/23,Unknown,BELMONT AVE btwn RIVERDALE AVE & BRISTOL AVE (__3ZBO0S),__3ZBO0S,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,369303.2359,5028688.181,45.39516135,-75.67615252,19
20--1144,2020/01/23,Unknown,CUMBERLAND ST btwn LAURIER AVE E & Continuation of CUMBERLAND ST (__5G15JW),__5G15JW,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,368614.355,5031921.064,45.42431287,-75.68453164,20
20--1145,2020/01/23,Unknown,LOKOYA ST btwn AMICI TERR & ARRITA ST (__6OD7BS),__6OD7BS,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,05 - Packed snow,10 - No control,,1,0,0,0,,0,,,,,354690.544,5015206.077,45.27504116,-75.86413446,21
20--1146,2020/01/23,Unknown,WOODVIEW CRES btwn SOUTHPARK DR & SOUTHPARK DR (__3ZA7L7),__3ZA7L7,01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,377375.0468,5032858.733,45.43189538,-75.57245655,22
20--1147,2020/01/23,12:07 PM,PAUL ANKA DR btwn UPLANDS DR & MCCARTHY RD (__3ZA9CH),__3ZA9CH,04 - At/near private drive,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,369640.3052,5023802.526,45.35117059,-75.67248925,23
20--1148,2020/01/23,12:50 PM,HIGHWAY 417 btwn HWY417 IC117 RAMP61 & HWY417 IC115 RAMP36 (__3ZA2RZ),__3ZA2RZ,01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,371778.927,5031446.36,45.41974585,-75.6441613,24
