OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
1,,,,,BLK,,Tuesday,Y,Centretown,Ward 14 - Somerset,Sector 23,6/19/2018 5:00:00 AM,6/19/2018 5:00:00 AM,2018,"ELGIN ST, GLOUCESTER ST",Central,5050037.00,Afternoon,Ariel Troster,1700,1500,367986.8978,5031476.5726
2,2017,JEEP,WRG,CARRY,BLK,53500,Monday,Y,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,6/19/2018 5:00:00 AM,6/18/2018 5:00:00 AM,2018,"RENAUD RD, PAGE, CHEMIN",East,5050125.06,Evening,Catherine Kitts,1700,1900,381704.9517,5032667.5439
3,,,,MOTO,BLK,,Wednesday,Y,Stittsville,Ward 6 - Stittsville,Sector 13,6/20/2018 5:00:00 AM,6/20/2018 5:00:00 AM,2018,"BRADLEY ST, CARLETON CATHCART ST",West,5050151.06,Night,Glen Gower,800,200,350914.7854,5013093.4174
4,2004,INFI,G35,4DR,BLK,,Thursday,Y,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,6/21/2018 5:00:00 AM,6/21/2018 5:00:00 AM,2018,"LANGRELL CRES, CHAPMAN MILLS DR",West,5050141.12,Night,Wilson Lo,1900,100,365187.1427,5014769.5062
5,2012,DODG,R15,PICKUP,RED,11000,Wednesday,Y,Trend-Arlington,Ward 9 - Knoxdale-Merivale,Sector 15,6/21/2018 5:00:00 AM,6/20/2018 5:00:00 AM,2018,"BELLMAN DR, MCCLELLAN RD",West,5050135.02,Evening,Sean Devine,1000,2000,360961.8697,5020792.4806
6,2000,TOYT,CAM,4DR,BRN,,Saturday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/23/2018 5:00:00 AM,6/23/2018 5:00:00 AM,2018,"CLARENCE ST, KING EDWARD AVE",Central,5050056.00,Afternoon,Stéphanie Plante,1600,1600,368353.897,5032691.5833
7,2010,DODG,JOU,CARRY,SIL,,Saturday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/24/2018 5:00:00 AM,6/23/2018 5:00:00 AM,2018,"BEAUSOLEIL DR, CHAPEL ST",Central,5050053.00,Evening,Stéphanie Plante,700,2100,368822.7537,5032742.3546
8,2010,HYUN,TUC,CARRY,BRZ,,Sunday,Y,Cummings,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/24/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"DONALD ST, FINDON GT",East,5050122.01,Morning,Tim Tierney,1200,600,372421.3413,5032446.7359
9,2015,HOND,CRV,CARRY,BLK,27000,Sunday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/24/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"BEAVERPOND DR, HALLMARK PL N",East,5050122.02,,Tim Tierney,900,,374984.9227,5032073.5631
10,2016,HOND,CIV,4DR,SIL,,Sunday,Y,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,Sector 16,6/24/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"BURRITTS RAPIDS PL, FOXHOUND WAY",West,5050141.15,Afternoon,David Hill,1500,1500,363990.798,5012498.913
11,2011,SUBA,,4DR,BLK,5000,Monday,Y,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Sector 35,6/25/2018 5:00:00 AM,6/25/2018 5:00:00 AM,2018,"BANK ST, HUNT CLUB RD",East,5050001.04,Afternoon,Jessica Bradley,1500,1500,371608.9231,5024095.5107
12,2000,GMC,SIE,PICKUP,BLK,,Saturday,N,Orléans Queenswood Heights,Ward 2 - Orléans West-Innes,Sector 31,6/25/2018 5:00:00 AM,6/23/2018 5:00:00 AM,2018,"CLAIBORNE WAY, CLAIBORNE WAY, CLAIBORNE WAY",East,5050170.04,Morning,Laura Dudas,1600,800,382395.7088,5036306.3292
13,2006,FORD,EC1,VAN,RED,,Monday,N,Stittsville,Ward 6 - Stittsville,Sector 13,6/25/2018 5:00:00 AM,6/18/2018 5:00:00 AM,2018,"HAZELDEAN RD, SOBEYS SC / 195 W OF CARP RD",West,5050151.07,,Glen Gower,1800,,348697.6787,5014200.3379
14,,,,,WHI,3300,Sunday,N,Laurentian,Ward 7 - Bay,Sector 14,6/25/2018 5:00:00 AM,6/24/2018 5:00:00 AM,2018,"SAVILLE ROW, BETWEEN HAYMARKET ST & LOCKHART AVE",West,5050032.01,Evening,Theresa Kavanagh,1300,2000,362009.8564,5026288.5047
15,2018,HYUN,ELN,4DR,WHI,25000,Monday,Y,Byward Market,Ward 12 - Rideau-Vanier,Sector 24,6/25/2018 5:00:00 AM,6/25/2018 5:00:00 AM,2018,"YORK ST, 72M EAST OF SUSSEX DR ",Central,5050054.00,Afternoon,Stéphanie Plante,1200,1200,367866.9792,5032274.2567
16,2008,MITS,LAN,4DR,WHI,,Saturday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,6/25/2018 5:00:00 AM,6/2/2018 5:00:00 AM,2018,"NESTING WAY, PETITE LANE",East,5050170.13,Morning,Matthew Luloff,200,1000,385473.9562,5037052.5541
17,2002,MINI,COO,2DR,SIL,,Monday,Y,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,6/25/2018 5:00:00 AM,6/25/2018 5:00:00 AM,2018,"COVENTRY RD, 230 W OF ST. LAURENT BLVD, ST. LAURENT SC EAST",Central,5050012.00,Afternoon,Rawlson King,1800,1500,372080.927,5031932.4512
18,,,,MOTO,BLUBGE,,Tuesday,N,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/26/2018 5:00:00 AM,6/26/2018 5:00:00 AM,2018,"CUMBERLAND ST, RIDEAU ST",Central,5050053.00,Afternoon,Stéphanie Plante,1500,1200,368374.7039,5032328.9694
19,2012,MITS,,,DGR,50000,Monday,N,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Sector 31,6/26/2018 5:00:00 AM,5/21/2018 5:00:00 AM,2018,"TAYLOR CREEK DR, VIMONT CRT",East,5050170.11,Morning,Matthew Luloff,800,700,384123.1444,5039635.9057
