OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
1,5825,7/5/2022 5:00:00 AM,1200,2022,7/5/2022 5:00:00 AM,1200,2022,Afternoon,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.01,FATAL,370825.726000003,5025378.52409946
2,8759,4/4/2022 5:00:00 AM,1600,2022,4/4/2022 5:00:00 AM,1600,2022,Afternoon,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050007.02,MINOR,370838.878900005,5026881.08409946
3,7144,6/6/2021 5:00:00 AM,200,2021,6/6/2021 5:00:00 AM,2200,2021,Evening,Sunday,7,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.01,,371033.726000004,5026354.53099946
4,9156,5/22/2018 5:00:00 AM,100,2018,5/21/2018 5:00:00 AM,2300,2018,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.01,MINOR,371101.135100002,5026191.49509946
5,7144,1/16/2018 5:00:00 AM,1600,2018,1/16/2018 5:00:00 AM,1600,2018,Afternoon,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.01,MINOR,371033.726000004,5026354.53099946
6,7144,6/23/2021 5:00:00 AM,200,2021,6/23/2021 5:00:00 AM,200,2021,Night,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.01,,371033.726000004,5026354.53099946
7,58912,5/27/2019 5:00:00 AM,200,2019,5/27/2019 5:00:00 AM,2200,2019,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.01,FATAL,371501.727900005,5026253.53009946
8,9156,6/27/2018 5:00:00 AM,200,2018,6/27/2018 5:00:00 AM,2300,2018,Evening,Wednesday,3,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.01,MINOR,371101.135100002,5026191.49509946
9,5825,4/19/2018 5:00:00 AM,100,2018,4/19/2018 5:00:00 AM,0,2018,Night,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.01,,370825.726000003,5025378.52409946
10,58912,8/4/2018 5:00:00 AM,900,2018,8/4/2018 5:00:00 AM,900,2018,Morning,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.01,,371501.727900005,5026253.53009946
11,1554,6/18/2018 5:00:00 AM,1300,2018,6/15/2018 5:00:00 AM,1700,2018,Afternoon,Friday,5,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.01,,371436.552100003,5026494.75289946
